sample	r1	r2
ERR12670110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670110/ERR12670110_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670110/ERR12670110_2.fastq.gz
ERR12670111	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/011/ERR12670111/ERR12670111_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/011/ERR12670111/ERR12670111_2.fastq.gz
ERR12670112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/012/ERR12670112/ERR12670112_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/012/ERR12670112/ERR12670112_2.fastq.gz
ERR12670114	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/014/ERR12670114/ERR12670114_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/014/ERR12670114/ERR12670114_2.fastq.gz
ERR12670116	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/016/ERR12670116/ERR12670116_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/016/ERR12670116/ERR12670116_2.fastq.gz
ERR12670119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/019/ERR12670119/ERR12670119_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/019/ERR12670119/ERR12670119_2.fastq.gz
ERR12670121	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/021/ERR12670121/ERR12670121_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/021/ERR12670121/ERR12670121_2.fastq.gz
ERR12670123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/023/ERR12670123/ERR12670123_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/023/ERR12670123/ERR12670123_2.fastq.gz
ERR12670127	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12670127/ERR12670127_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12670127/ERR12670127_2.fastq.gz
ERR12670149	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/049/ERR12670149/ERR12670149_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/049/ERR12670149/ERR12670149_2.fastq.gz
